rank	ai_name	cost	valid	r	path
1	hasi23	24034172	1	20	/home/ubuntu/icfpc2018/out/hasi23/FA018.nbt.gz
2	hasi11	27565104	1	20	/home/ubuntu/icfpc2018/out/hasi11/FA018.nbt.gz
3	hasi666	30043192	1	20	/home/ubuntu/icfpc2018/out/hasi666/FA018.nbt.gz
4	hasi21	33594904	1	20	/home/ubuntu/icfpc2018/out/hasi21/FA018.nbt.gz
5	hasi22	33594952	1	20	/home/ubuntu/icfpc2018/out/hasi22/FA018.nbt.gz
6	hasi10	317605196	1	20	/home/ubuntu/icfpc2018/out/hasi10/FA018.nbt.gz
7	default	511061356	1	20	/home/ubuntu/icfpc2018/out/default/FA018.nbt.gz
8	shioshiota19	650829700	1	20	/home/ubuntu/icfpc2018/out/shioshiota19/FA018.nbt.gz
9	johniel9	709030100	1	20	/home/ubuntu/icfpc2018/out/johniel9/FA018.nbt.gz
10	shioshiota16	777695456	1	20	/home/ubuntu/icfpc2018/out/shioshiota16/FA018.nbt.gz
11	johniel8	781296608	1	20	/home/ubuntu/icfpc2018/out/johniel8/FA018.nbt.gz
12	johniel4	1365668556	1	20	/home/ubuntu/icfpc2018/out/johniel4/FA018.nbt.gz
