rank	ai_name	cost	valid	r	path
1	hasi20	163414019453	1	180	/home/ubuntu/icfpc2018/out/hasi20/FD180.nbt.gz
2	hasi21	163414019453	1	180	/home/ubuntu/icfpc2018/out/hasi21/FD180.nbt.gz
3	shioshiota19	163553987903	1	180	/home/ubuntu/icfpc2018/out/shioshiota19/FD180.nbt.gz
4	shioshiota18	172765907550	1	180	/home/ubuntu/icfpc2018/out/shioshiota18/FD180.nbt.gz
5	shioshiota14	181254499319	1	180	/home/ubuntu/icfpc2018/out/shioshiota14/FD180.nbt.gz
6	hasi13	181254499319	1	180	/home/ubuntu/icfpc2018/out/hasi13/FD180.nbt.gz
7	shioshiota12	181254499319	1	180	/home/ubuntu/icfpc2018/out/shioshiota12/FD180.nbt.gz
8	shioshiota16	186870717001	1	180	/home/ubuntu/icfpc2018/out/shioshiota16/FD180.nbt.gz
9	hasi19	193236283212	1	180	/home/ubuntu/icfpc2018/out/hasi19/FD180.nbt.gz
10	hasi15	207341092663	1	180	/home/ubuntu/icfpc2018/out/hasi15/FD180.nbt.gz
11	hasi12	210647873399	1	180	/home/ubuntu/icfpc2018/out/hasi12/FD180.nbt.gz
12	shioshiota13	210647873399	1	180	/home/ubuntu/icfpc2018/out/shioshiota13/FD180.nbt.gz
13	hasi10	161974873781048	1	180	/home/ubuntu/icfpc2018/out/hasi10/FD180.nbt.gz
