rank	ai_name	cost	valid	r	path
1	hasi23	60397908	1	20	/home/ubuntu/icfpc2018/out/hasi23/FA007.nbt.gz
2	hasi666	71383184	1	20	/home/ubuntu/icfpc2018/out/hasi666/FA007.nbt.gz
3	hasi11	82114016	1	20	/home/ubuntu/icfpc2018/out/hasi11/FA007.nbt.gz
4	hasi21	97707700	1	20	/home/ubuntu/icfpc2018/out/hasi21/FA007.nbt.gz
5	hasi22	97972184	1	20	/home/ubuntu/icfpc2018/out/hasi22/FA007.nbt.gz
6	shioshiota19	774934992	1	20	/home/ubuntu/icfpc2018/out/shioshiota19/FA007.nbt.gz
7	johniel9	800775304	1	20	/home/ubuntu/icfpc2018/out/johniel9/FA007.nbt.gz
8	shioshiota16	801255380	1	20	/home/ubuntu/icfpc2018/out/shioshiota16/FA007.nbt.gz
9	johniel8	801255380	1	20	/home/ubuntu/icfpc2018/out/johniel8/FA007.nbt.gz
10	hasi10	879991004	1	20	/home/ubuntu/icfpc2018/out/hasi10/FA007.nbt.gz
11	default	1528766296	1	20	/home/ubuntu/icfpc2018/out/default/FA007.nbt.gz
12	johniel4	1942165042	1	20	/home/ubuntu/icfpc2018/out/johniel4/FA007.nbt.gz
