rank	ai_name	cost	valid	r	path
1	shioshiota19	9104204870	1	60	/home/ubuntu/icfpc2018/out/shioshiota19/FA070.nbt.gz
2	hasi666	11487513352	1	60	/home/ubuntu/icfpc2018/out/hasi666/FA070.nbt.gz
3	hasi23	21476528416	1	60	/home/ubuntu/icfpc2018/out/hasi23/FA070.nbt.gz
4	hasi21	34814688764	1	60	/home/ubuntu/icfpc2018/out/hasi21/FA070.nbt.gz
5	hasi22	34929393524	1	60	/home/ubuntu/icfpc2018/out/hasi22/FA070.nbt.gz
6	johniel9	91027604910	1	60	/home/ubuntu/icfpc2018/out/johniel9/FA070.nbt.gz
7	shioshiota16	91060005202	1	60	/home/ubuntu/icfpc2018/out/shioshiota16/FA070.nbt.gz
8	johniel8	91060005202	1	60	/home/ubuntu/icfpc2018/out/johniel8/FA070.nbt.gz
9	hasi10	331104783436	1	60	/home/ubuntu/icfpc2018/out/hasi10/FA070.nbt.gz
10	default	424002348892	1	60	/home/ubuntu/icfpc2018/out/default/FA070.nbt.gz
