rank	ai_name	cost	valid	r	path
1	hasi11	20546820	1	20	/home/ubuntu/icfpc2018/out/hasi11/FA015.nbt.gz
2	hasi23	53446472	1	20	/home/ubuntu/icfpc2018/out/hasi23/FA015.nbt.gz
3	hasi22	77452764	1	20	/home/ubuntu/icfpc2018/out/hasi22/FA015.nbt.gz
4	hasi21	78172576	1	20	/home/ubuntu/icfpc2018/out/hasi21/FA015.nbt.gz
5	hasi10	215352964	1	20	/home/ubuntu/icfpc2018/out/hasi10/FA015.nbt.gz
6	default	337283328	1	20	/home/ubuntu/icfpc2018/out/default/FA015.nbt.gz
7	shioshiota19	436270838	1	20	/home/ubuntu/icfpc2018/out/shioshiota19/FA015.nbt.gz
8	johniel9	451174798	1	20	/home/ubuntu/icfpc2018/out/johniel9/FA015.nbt.gz
9	shioshiota16	463180440	1	20	/home/ubuntu/icfpc2018/out/shioshiota16/FA015.nbt.gz
10	johniel8	473983896	1	20	/home/ubuntu/icfpc2018/out/johniel8/FA015.nbt.gz
11	johniel4	821632852	1	20	/home/ubuntu/icfpc2018/out/johniel4/FA015.nbt.gz
