rank	ai_name	cost	valid	r	path
1	hasi20	27120855	1	40	/home/ubuntu/icfpc2018/out/hasi20/FD056.nbt.gz
2	shioshiota18	66434685	1	40	/home/ubuntu/icfpc2018/out/shioshiota18/FD056.nbt.gz
3	hasi19	66434685	1	40	/home/ubuntu/icfpc2018/out/hasi19/FD056.nbt.gz
4	shioshiota14	107854407	1	40	/home/ubuntu/icfpc2018/out/shioshiota14/FD056.nbt.gz
5	hasi12	107854407	1	40	/home/ubuntu/icfpc2018/out/hasi12/FD056.nbt.gz
6	shioshiota13	107854407	1	40	/home/ubuntu/icfpc2018/out/shioshiota13/FD056.nbt.gz
7	hasi13	107854407	1	40	/home/ubuntu/icfpc2018/out/hasi13/FD056.nbt.gz
8	shioshiota12	107854407	1	40	/home/ubuntu/icfpc2018/out/shioshiota12/FD056.nbt.gz
9	hasi15	134541837	1	40	/home/ubuntu/icfpc2018/out/hasi15/FD056.nbt.gz
10	shioshiota16	134927169	1	40	/home/ubuntu/icfpc2018/out/shioshiota16/FD056.nbt.gz
11	hasi11	19424812768	1	40	/home/ubuntu/icfpc2018/out/hasi11/FD056.nbt.gz
12	hasi10	19438636768	1	40	/home/ubuntu/icfpc2018/out/hasi10/FD056.nbt.gz
13	default	40610702748	1	40	/home/ubuntu/icfpc2018/out/default/FD056.nbt.gz
