rank	ai_name	cost	valid	r	path
1	hasi17	1369504	1	30	/home/ubuntu/icfpc2018/out/hasi17/FD019.nbt.gz
2	shioshiota18	5174212	1	30	/home/ubuntu/icfpc2018/out/shioshiota18/FD019.nbt.gz
3	hasi19	5174212	1	30	/home/ubuntu/icfpc2018/out/hasi19/FD019.nbt.gz
4	shioshiota14	5176744	1	30	/home/ubuntu/icfpc2018/out/shioshiota14/FD019.nbt.gz
5	hasi12	5176744	1	30	/home/ubuntu/icfpc2018/out/hasi12/FD019.nbt.gz
6	shioshiota13	5176744	1	30	/home/ubuntu/icfpc2018/out/shioshiota13/FD019.nbt.gz
7	hasi13	5176744	1	30	/home/ubuntu/icfpc2018/out/hasi13/FD019.nbt.gz
8	shioshiota12	5986904	1	30	/home/ubuntu/icfpc2018/out/shioshiota12/FD019.nbt.gz
9	hasi16	11171186	1	30	/home/ubuntu/icfpc2018/out/hasi16/FD019.nbt.gz
10	shioshiota16	14978426	1	30	/home/ubuntu/icfpc2018/out/shioshiota16/FD019.nbt.gz
11	hasi15	14978426	1	30	/home/ubuntu/icfpc2018/out/hasi15/FD019.nbt.gz
12	default	35589791324	1	30	/home/ubuntu/icfpc2018/out/default/FD019.nbt.gz
13	hasi10	36836455724	1	30	/home/ubuntu/icfpc2018/out/hasi10/FD019.nbt.gz
