rank	ai_name	cost	valid	r	path
1	shioshiota18	18992837233	1	120	/home/ubuntu/icfpc2018/out/shioshiota18/FD137.nbt.gz
2	hasi20	19140509288	1	120	/home/ubuntu/icfpc2018/out/hasi20/FD137.nbt.gz
3	hasi23	19140509288	1	120	/home/ubuntu/icfpc2018/out/hasi23/FD137.nbt.gz
4	hasi21	19140509288	1	120	/home/ubuntu/icfpc2018/out/hasi21/FD137.nbt.gz
5	shioshiota19	19181981738	1	120	/home/ubuntu/icfpc2018/out/shioshiota19/FD137.nbt.gz
6	shioshiota14	20351628449	1	120	/home/ubuntu/icfpc2018/out/shioshiota14/FD137.nbt.gz
7	hasi13	20351628449	1	120	/home/ubuntu/icfpc2018/out/hasi13/FD137.nbt.gz
8	shioshiota12	20351628449	1	120	/home/ubuntu/icfpc2018/out/shioshiota12/FD137.nbt.gz
9	hasi19	21066449016	1	120	/home/ubuntu/icfpc2018/out/hasi19/FD137.nbt.gz
10	shioshiota16	21600973731	1	120	/home/ubuntu/icfpc2018/out/shioshiota16/FD137.nbt.gz
11	hasi12	22425244449	1	120	/home/ubuntu/icfpc2018/out/hasi12/FD137.nbt.gz
12	shioshiota13	22425244449	1	120	/home/ubuntu/icfpc2018/out/shioshiota13/FD137.nbt.gz
13	hasi15	23674585514	1	120	/home/ubuntu/icfpc2018/out/hasi15/FD137.nbt.gz
14	hasi11	8666157961584	1	120	/home/ubuntu/icfpc2018/out/hasi11/FD137.nbt.gz
15	hasi10	8667091081584	1	120	/home/ubuntu/icfpc2018/out/hasi10/FD137.nbt.gz
16	default	72616578991876	1	120	/home/ubuntu/icfpc2018/out/default/FD137.nbt.gz
