rank	ai_name	cost	valid	r	path
1	shioshiota18	18992837233	1	120	/home/ubuntu/icfpc2018/out/shioshiota18/FD137.nbt.gz
2	shioshiota14	20351628449	1	120	/home/ubuntu/icfpc2018/out/shioshiota14/FD137.nbt.gz
3	hasi13	20351628449	1	120	/home/ubuntu/icfpc2018/out/hasi13/FD137.nbt.gz
4	shioshiota12	20351628449	1	120	/home/ubuntu/icfpc2018/out/shioshiota12/FD137.nbt.gz
5	shioshiota16	21600973731	1	120	/home/ubuntu/icfpc2018/out/shioshiota16/FD137.nbt.gz
6	hasi12	22425244449	1	120	/home/ubuntu/icfpc2018/out/hasi12/FD137.nbt.gz
7	shioshiota13	22425244449	1	120	/home/ubuntu/icfpc2018/out/shioshiota13/FD137.nbt.gz
8	hasi15	23674585514	1	120	/home/ubuntu/icfpc2018/out/hasi15/FD137.nbt.gz
9	hasi11	8666157961584	1	120	/home/ubuntu/icfpc2018/out/hasi11/FD137.nbt.gz
10	default	72616578991876	1	120	/home/ubuntu/icfpc2018/out/default/FD137.nbt.gz
