rank	ai_name	cost	valid	r	path
1	shioshiota18	47125168693	1	160	/home/ubuntu/icfpc2018/out/shioshiota18/FD169.nbt.gz
2	shioshiota14	67630182067	1	160	/home/ubuntu/icfpc2018/out/shioshiota14/FD169.nbt.gz
3	hasi13	67630182067	1	160	/home/ubuntu/icfpc2018/out/hasi13/FD169.nbt.gz
4	shioshiota12	67630182067	1	160	/home/ubuntu/icfpc2018/out/shioshiota12/FD169.nbt.gz
5	shioshiota16	71328871629	1	160	/home/ubuntu/icfpc2018/out/shioshiota16/FD169.nbt.gz
6	hasi15	75236462712	1	160	/home/ubuntu/icfpc2018/out/hasi15/FD169.nbt.gz
7	hasi12	85324982707	1	160	/home/ubuntu/icfpc2018/out/hasi12/FD169.nbt.gz
8	shioshiota13	85324982707	1	160	/home/ubuntu/icfpc2018/out/shioshiota13/FD169.nbt.gz
9	hasi11	71563921375080	1	160	/home/ubuntu/icfpc2018/out/hasi11/FD169.nbt.gz
10	default	143933076957360	1	160	/home/ubuntu/icfpc2018/out/default/FD169.nbt.gz
