rank	ai_name	cost	valid	r	path
1	shioshiota18	47125168693	1	160	/home/ubuntu/icfpc2018/out/shioshiota18/FD169.nbt.gz
2	hasi20	63310879140	1	160	/home/ubuntu/icfpc2018/out/hasi20/FD169.nbt.gz
3	hasi21	63310879140	1	160	/home/ubuntu/icfpc2018/out/hasi21/FD169.nbt.gz
4	shioshiota19	63409183590	1	160	/home/ubuntu/icfpc2018/out/shioshiota19/FD169.nbt.gz
5	shioshiota14	67630182067	1	160	/home/ubuntu/icfpc2018/out/shioshiota14/FD169.nbt.gz
6	hasi13	67630182067	1	160	/home/ubuntu/icfpc2018/out/hasi13/FD169.nbt.gz
7	shioshiota12	67630182067	1	160	/home/ubuntu/icfpc2018/out/shioshiota12/FD169.nbt.gz
8	shioshiota16	71328871629	1	160	/home/ubuntu/icfpc2018/out/shioshiota16/FD169.nbt.gz
9	hasi15	75236462712	1	160	/home/ubuntu/icfpc2018/out/hasi15/FD169.nbt.gz
10	hasi19	76849934954	1	160	/home/ubuntu/icfpc2018/out/hasi19/FD169.nbt.gz
11	hasi12	85324982707	1	160	/home/ubuntu/icfpc2018/out/hasi12/FD169.nbt.gz
12	shioshiota13	85324982707	1	160	/home/ubuntu/icfpc2018/out/shioshiota13/FD169.nbt.gz
13	hasi11	71563921375080	1	160	/home/ubuntu/icfpc2018/out/hasi11/FD169.nbt.gz
14	hasi10	71566575583080	1	160	/home/ubuntu/icfpc2018/out/hasi10/FD169.nbt.gz
15	default	143933076957360	1	160	/home/ubuntu/icfpc2018/out/default/FD169.nbt.gz
