rank	ai_name	cost	valid	r	path
1	hasi11	26121904	1	20	/home/ubuntu/icfpc2018/out/hasi11/FA004.nbt.gz
2	hasi23	112419768	1	20	/home/ubuntu/icfpc2018/out/hasi23/FA004.nbt.gz
3	hasi666	134822216	1	20	/home/ubuntu/icfpc2018/out/hasi666/FA004.nbt.gz
4	hasi21	163475064	1	20	/home/ubuntu/icfpc2018/out/hasi21/FA004.nbt.gz
5	hasi22	165947692	1	20	/home/ubuntu/icfpc2018/out/hasi22/FA004.nbt.gz
6	shioshiota19	259555138	1	20	/home/ubuntu/icfpc2018/out/shioshiota19/FA004.nbt.gz
7	hasi10	272959676	1	20	/home/ubuntu/icfpc2018/out/hasi10/FA004.nbt.gz
8	johniel9	285279238	1	20	/home/ubuntu/icfpc2018/out/johniel9/FA004.nbt.gz
9	shioshiota16	285759318	1	20	/home/ubuntu/icfpc2018/out/shioshiota16/FA004.nbt.gz
10	johniel8	285759318	1	20	/home/ubuntu/icfpc2018/out/johniel8/FA004.nbt.gz
11	johniel4	702081720	1	20	/home/ubuntu/icfpc2018/out/johniel4/FA004.nbt.gz
12	default	1097434212	1	20	/home/ubuntu/icfpc2018/out/default/FA004.nbt.gz
