rank	ai_name	cost	valid	r	path
1	hasi20	11214589904	1	120	/home/ubuntu/icfpc2018/out/hasi20/FD138.nbt.gz
2	hasi21	11214589904	1	120	/home/ubuntu/icfpc2018/out/hasi21/FD138.nbt.gz
3	shioshiota19	11256062354	1	120	/home/ubuntu/icfpc2018/out/shioshiota19/FD138.nbt.gz
4	hasi19	11269022090	1	120	/home/ubuntu/icfpc2018/out/hasi19/FD138.nbt.gz
5	shioshiota18	12202153564	1	120	/home/ubuntu/icfpc2018/out/shioshiota18/FD138.nbt.gz
6	shioshiota14	13560730260	1	120	/home/ubuntu/icfpc2018/out/shioshiota14/FD138.nbt.gz
7	hasi13	13560730260	1	120	/home/ubuntu/icfpc2018/out/hasi13/FD138.nbt.gz
8	shioshiota12	13560730260	1	120	/home/ubuntu/icfpc2018/out/shioshiota12/FD138.nbt.gz
9	hasi15	13876944068	1	120	/home/ubuntu/icfpc2018/out/hasi15/FD138.nbt.gz
10	shioshiota16	14810075542	1	120	/home/ubuntu/icfpc2018/out/shioshiota16/FD138.nbt.gz
11	hasi12	15634346260	1	120	/home/ubuntu/icfpc2018/out/hasi12/FD138.nbt.gz
12	shioshiota13	15634346260	1	120	/home/ubuntu/icfpc2018/out/shioshiota13/FD138.nbt.gz
13	hasi11	7682950169760	1	120	/home/ubuntu/icfpc2018/out/hasi11/FD138.nbt.gz
14	hasi10	7684256537760	1	120	/home/ubuntu/icfpc2018/out/hasi10/FD138.nbt.gz
15	default	79266513515712	1	120	/home/ubuntu/icfpc2018/out/default/FD138.nbt.gz
