rank	ai_name	cost	valid	r	path
1	hasi23	322275240	1	30	/home/ubuntu/icfpc2018/out/hasi23/FA032.nbt.gz
2	hasi21	568448248	1	30	/home/ubuntu/icfpc2018/out/hasi21/FA032.nbt.gz
3	hasi22	568448256	1	30	/home/ubuntu/icfpc2018/out/hasi22/FA032.nbt.gz
4	johniel5	1111199760	1	30	/home/ubuntu/icfpc2018/out/johniel5/FA032.nbt.gz
5	johniel9	2563362008	1	30	/home/ubuntu/icfpc2018/out/johniel9/FA032.nbt.gz
6	shioshiota16	2578754352	1	30	/home/ubuntu/icfpc2018/out/shioshiota16/FA032.nbt.gz
7	shioshiota19	2580780788	1	30	/home/ubuntu/icfpc2018/out/shioshiota19/FA032.nbt.gz
8	johniel8	2590095424	1	30	/home/ubuntu/icfpc2018/out/johniel8/FA032.nbt.gz
9	hasi10	4595454384	1	30	/home/ubuntu/icfpc2018/out/hasi10/FA032.nbt.gz
10	johniel4	11099390800	1	30	/home/ubuntu/icfpc2018/out/johniel4/FA032.nbt.gz
11	default	19391305816	1	30	/home/ubuntu/icfpc2018/out/default/FA032.nbt.gz
