rank	ai_name	cost	valid	r	path
1	hasi17	487334	1	20	/home/ubuntu/icfpc2018/out/hasi17/FD005.nbt.gz
2	shioshiota14	1615574	1	20	/home/ubuntu/icfpc2018/out/shioshiota14/FD005.nbt.gz
3	hasi12	1615574	1	20	/home/ubuntu/icfpc2018/out/hasi12/FD005.nbt.gz
4	shioshiota13	1615574	1	20	/home/ubuntu/icfpc2018/out/shioshiota13/FD005.nbt.gz
5	hasi13	1615574	1	20	/home/ubuntu/icfpc2018/out/hasi13/FD005.nbt.gz
6	shioshiota12	1855734	1	20	/home/ubuntu/icfpc2018/out/shioshiota12/FD005.nbt.gz
7	hasi16	3391976	1	20	/home/ubuntu/icfpc2018/out/hasi16/FD005.nbt.gz
8	shioshiota16	4520216	1	20	/home/ubuntu/icfpc2018/out/shioshiota16/FD005.nbt.gz
9	hasi15	4520216	1	20	/home/ubuntu/icfpc2018/out/hasi15/FD005.nbt.gz
10	hasi10	572006748	1	20	/home/ubuntu/icfpc2018/out/hasi10/FD005.nbt.gz
11	default	705456764	1	20	/home/ubuntu/icfpc2018/out/default/FD005.nbt.gz
