rank	ai_name	cost	valid	r	path
1	hasi23	22615756	1	20	/home/ubuntu/icfpc2018/out/hasi23/FA014.nbt.gz
2	hasi11	26411328	1	20	/home/ubuntu/icfpc2018/out/hasi11/FA014.nbt.gz
3	hasi21	31287568	1	20	/home/ubuntu/icfpc2018/out/hasi21/FA014.nbt.gz
4	hasi22	31287616	1	20	/home/ubuntu/icfpc2018/out/hasi22/FA014.nbt.gz
5	shioshiota19	105462174	1	20	/home/ubuntu/icfpc2018/out/shioshiota19/FA014.nbt.gz
6	hasi10	298402868	1	20	/home/ubuntu/icfpc2018/out/hasi10/FA014.nbt.gz
7	default	501700108	1	20	/home/ubuntu/icfpc2018/out/default/FA014.nbt.gz
8	johniel9	680698166	1	20	/home/ubuntu/icfpc2018/out/johniel9/FA014.nbt.gz
9	shioshiota16	723194662	1	20	/home/ubuntu/icfpc2018/out/shioshiota16/FA014.nbt.gz
10	johniel4	1272517406	1	20	/home/ubuntu/icfpc2018/out/johniel4/FA014.nbt.gz
