rank	ai_name	cost	valid	r	path
1	hasi17	497834	1	20	/home/ubuntu/icfpc2018/out/hasi17/FD015.nbt.gz
2	shioshiota18	1303536	1	20	/home/ubuntu/icfpc2018/out/shioshiota18/FD015.nbt.gz
3	hasi19	1303536	1	20	/home/ubuntu/icfpc2018/out/hasi19/FD015.nbt.gz
4	shioshiota14	1626074	1	20	/home/ubuntu/icfpc2018/out/shioshiota14/FD015.nbt.gz
5	hasi12	1626074	1	20	/home/ubuntu/icfpc2018/out/hasi12/FD015.nbt.gz
6	shioshiota13	1626074	1	20	/home/ubuntu/icfpc2018/out/shioshiota13/FD015.nbt.gz
7	hasi13	1626074	1	20	/home/ubuntu/icfpc2018/out/hasi13/FD015.nbt.gz
8	shioshiota12	1866234	1	20	/home/ubuntu/icfpc2018/out/shioshiota12/FD015.nbt.gz
9	hasi16	3402476	1	20	/home/ubuntu/icfpc2018/out/hasi16/FD015.nbt.gz
10	shioshiota16	4530716	1	20	/home/ubuntu/icfpc2018/out/shioshiota16/FD015.nbt.gz
11	hasi15	4530716	1	20	/home/ubuntu/icfpc2018/out/hasi15/FD015.nbt.gz
12	hasi11	223887904	1	20	/home/ubuntu/icfpc2018/out/hasi11/FD015.nbt.gz
13	hasi10	225183904	1	20	/home/ubuntu/icfpc2018/out/hasi10/FD015.nbt.gz
14	default	337272816	1	20	/home/ubuntu/icfpc2018/out/default/FD015.nbt.gz
