rank	ai_name	cost	valid	r	path
1	hasi17	53635448	1	60	/home/ubuntu/icfpc2018/out/hasi17/FD066.nbt.gz
2	hasi16	157964330	1	60	/home/ubuntu/icfpc2018/out/hasi16/FD066.nbt.gz
3	shioshiota14	347180900	1	60	/home/ubuntu/icfpc2018/out/shioshiota14/FD066.nbt.gz
4	hasi12	347180900	1	60	/home/ubuntu/icfpc2018/out/hasi12/FD066.nbt.gz
5	shioshiota13	347180900	1	60	/home/ubuntu/icfpc2018/out/shioshiota13/FD066.nbt.gz
6	hasi13	347180900	1	60	/home/ubuntu/icfpc2018/out/hasi13/FD066.nbt.gz
7	shioshiota12	347180900	1	60	/home/ubuntu/icfpc2018/out/shioshiota12/FD066.nbt.gz
8	hasi15	445028690	1	60	/home/ubuntu/icfpc2018/out/hasi15/FD066.nbt.gz
9	shioshiota16	451509782	1	60	/home/ubuntu/icfpc2018/out/shioshiota16/FD066.nbt.gz
10	hasi11	170123196196	1	60	/home/ubuntu/icfpc2018/out/hasi11/FD066.nbt.gz
11	hasi10	170199012196	1	60	/home/ubuntu/icfpc2018/out/hasi10/FD066.nbt.gz
12	default	503783967380	1	60	/home/ubuntu/icfpc2018/out/default/FD066.nbt.gz
