rank	ai_name	cost	valid	r	path
1	hasi17	205783831	1	80	/home/ubuntu/icfpc2018/out/hasi17/FD086.nbt.gz
2	hasi16	514520873	1	80	/home/ubuntu/icfpc2018/out/hasi16/FD086.nbt.gz
3	shioshiota14	1287130727	1	80	/home/ubuntu/icfpc2018/out/shioshiota14/FD086.nbt.gz
4	hasi13	1287130727	1	80	/home/ubuntu/icfpc2018/out/hasi13/FD086.nbt.gz
5	shioshiota12	1287130727	1	80	/home/ubuntu/icfpc2018/out/shioshiota12/FD086.nbt.gz
6	hasi12	1425373607	1	80	/home/ubuntu/icfpc2018/out/hasi12/FD086.nbt.gz
7	shioshiota13	1425373607	1	80	/home/ubuntu/icfpc2018/out/shioshiota13/FD086.nbt.gz
8	hasi15	1595865353	1	80	/home/ubuntu/icfpc2018/out/hasi15/FD086.nbt.gz
9	shioshiota16	1595867769	1	80	/home/ubuntu/icfpc2018/out/shioshiota16/FD086.nbt.gz
10	hasi11	277186852156	1	80	/home/ubuntu/icfpc2018/out/hasi11/FD086.nbt.gz
11	hasi10	277435684156	1	80	/home/ubuntu/icfpc2018/out/hasi10/FD086.nbt.gz
12	default	613236469896	1	80	/home/ubuntu/icfpc2018/out/default/FD086.nbt.gz
