rank	ai_name	cost	valid	r	path
1	hasi20	139104095	1	80	/home/ubuntu/icfpc2018/out/hasi20/FD086.nbt.gz
2	hasi21	139104095	1	80	/home/ubuntu/icfpc2018/out/hasi21/FD086.nbt.gz
3	shioshiota19	151392545	1	80	/home/ubuntu/icfpc2018/out/shioshiota19/FD086.nbt.gz
4	hasi17	205783831	1	80	/home/ubuntu/icfpc2018/out/hasi17/FD086.nbt.gz
5	hasi16	514520873	1	80	/home/ubuntu/icfpc2018/out/hasi16/FD086.nbt.gz
6	hasi19	782325431	1	80	/home/ubuntu/icfpc2018/out/hasi19/FD086.nbt.gz
7	shioshiota18	828407981	1	80	/home/ubuntu/icfpc2018/out/shioshiota18/FD086.nbt.gz
8	shioshiota14	1287130727	1	80	/home/ubuntu/icfpc2018/out/shioshiota14/FD086.nbt.gz
9	hasi13	1287130727	1	80	/home/ubuntu/icfpc2018/out/hasi13/FD086.nbt.gz
10	shioshiota12	1287130727	1	80	/home/ubuntu/icfpc2018/out/shioshiota12/FD086.nbt.gz
11	hasi12	1425373607	1	80	/home/ubuntu/icfpc2018/out/hasi12/FD086.nbt.gz
12	shioshiota13	1425373607	1	80	/home/ubuntu/icfpc2018/out/shioshiota13/FD086.nbt.gz
13	hasi15	1595865353	1	80	/home/ubuntu/icfpc2018/out/hasi15/FD086.nbt.gz
14	shioshiota16	1595867769	1	80	/home/ubuntu/icfpc2018/out/shioshiota16/FD086.nbt.gz
15	hasi11	277186852156	1	80	/home/ubuntu/icfpc2018/out/hasi11/FD086.nbt.gz
16	hasi10	277435684156	1	80	/home/ubuntu/icfpc2018/out/hasi10/FD086.nbt.gz
17	default	613236469896	1	80	/home/ubuntu/icfpc2018/out/default/FD086.nbt.gz
