rank	ai_name	cost	valid	r	path
1	hasi20	131449827695	1	200	/home/ubuntu/icfpc2018/out/hasi20/FD184.nbt.gz
2	hasi21	131449827695	1	200	/home/ubuntu/icfpc2018/out/hasi21/FD184.nbt.gz
3	shioshiota19	131641828145	1	200	/home/ubuntu/icfpc2018/out/shioshiota19/FD184.nbt.gz
4	shioshiota18	222423049096	1	200	/home/ubuntu/icfpc2018/out/shioshiota18/FD184.nbt.gz
5	hasi19	228615053294	1	200	/home/ubuntu/icfpc2018/out/hasi19/FD184.nbt.gz
6	shioshiota14	239852615258	1	200	/home/ubuntu/icfpc2018/out/shioshiota14/FD184.nbt.gz
7	hasi13	239852615258	1	200	/home/ubuntu/icfpc2018/out/hasi13/FD184.nbt.gz
8	shioshiota12	239852615258	1	200	/home/ubuntu/icfpc2018/out/shioshiota12/FD184.nbt.gz
9	shioshiota16	248516617100	1	200	/home/ubuntu/icfpc2018/out/shioshiota16/FD184.nbt.gz
10	hasi12	298652772058	1	200	/home/ubuntu/icfpc2018/out/hasi12/FD184.nbt.gz
11	hasi15	299396739597	1	200	/home/ubuntu/icfpc2018/out/hasi15/FD184.nbt.gz
12	hasi10	191681822191216	1	200	/home/ubuntu/icfpc2018/out/hasi10/FD184.nbt.gz
