rank	ai_name	cost	valid	r	path
1	hasi20	20920731988	1	120	/home/ubuntu/icfpc2018/out/hasi20/FD139.nbt.gz
2	shioshiota18	23308340958	1	120	/home/ubuntu/icfpc2018/out/shioshiota18/FD139.nbt.gz
3	shioshiota14	23460827822	1	120	/home/ubuntu/icfpc2018/out/shioshiota14/FD139.nbt.gz
4	hasi13	23460827822	1	120	/home/ubuntu/icfpc2018/out/hasi13/FD139.nbt.gz
5	shioshiota12	23460827822	1	120	/home/ubuntu/icfpc2018/out/shioshiota12/FD139.nbt.gz
6	shioshiota16	24710173104	1	120	/home/ubuntu/icfpc2018/out/shioshiota16/FD139.nbt.gz
7	hasi12	25534443822	1	120	/home/ubuntu/icfpc2018/out/hasi12/FD139.nbt.gz
8	shioshiota13	25534443822	1	120	/home/ubuntu/icfpc2018/out/shioshiota13/FD139.nbt.gz
9	hasi15	30931016896	1	120	/home/ubuntu/icfpc2018/out/hasi15/FD139.nbt.gz
10	hasi19	34495478157	1	120	/home/ubuntu/icfpc2018/out/hasi19/FD139.nbt.gz
11	hasi10	17317893744420	1	120	/home/ubuntu/icfpc2018/out/hasi10/FD139.nbt.gz
12	default	43669420604304	1	120	/home/ubuntu/icfpc2018/out/default/FD139.nbt.gz
