rank	ai_name	cost	valid	r	path
1	hasi20	389852	1	20	/home/ubuntu/icfpc2018/out/hasi20/FD011.nbt.gz
2	hasi21	389852	1	20	/home/ubuntu/icfpc2018/out/hasi21/FD011.nbt.gz
3	hasi17	499574	1	20	/home/ubuntu/icfpc2018/out/hasi17/FD011.nbt.gz
4	shioshiota19	582302	1	20	/home/ubuntu/icfpc2018/out/shioshiota19/FD011.nbt.gz
5	shioshiota18	1302092	1	20	/home/ubuntu/icfpc2018/out/shioshiota18/FD011.nbt.gz
6	hasi19	1302092	1	20	/home/ubuntu/icfpc2018/out/hasi19/FD011.nbt.gz
7	shioshiota14	1627814	1	20	/home/ubuntu/icfpc2018/out/shioshiota14/FD011.nbt.gz
8	hasi12	1627814	1	20	/home/ubuntu/icfpc2018/out/hasi12/FD011.nbt.gz
9	shioshiota13	1627814	1	20	/home/ubuntu/icfpc2018/out/shioshiota13/FD011.nbt.gz
10	hasi13	1627814	1	20	/home/ubuntu/icfpc2018/out/hasi13/FD011.nbt.gz
11	shioshiota12	1867974	1	20	/home/ubuntu/icfpc2018/out/shioshiota12/FD011.nbt.gz
12	hasi16	3404216	1	20	/home/ubuntu/icfpc2018/out/hasi16/FD011.nbt.gz
13	shioshiota16	4532456	1	20	/home/ubuntu/icfpc2018/out/shioshiota16/FD011.nbt.gz
14	hasi15	4532456	1	20	/home/ubuntu/icfpc2018/out/hasi15/FD011.nbt.gz
15	hasi11	172764476	1	20	/home/ubuntu/icfpc2018/out/hasi11/FD011.nbt.gz
16	hasi10	174060476	1	20	/home/ubuntu/icfpc2018/out/hasi10/FD011.nbt.gz
17	default	204782296	1	20	/home/ubuntu/icfpc2018/out/default/FD011.nbt.gz
