rank	ai_name	cost	valid	r	path
1	hasi20	1591144	1	30	/home/ubuntu/icfpc2018/out/hasi20/FD024.nbt.gz
2	hasi17	1591144	1	30	/home/ubuntu/icfpc2018/out/hasi17/FD024.nbt.gz
3	shioshiota18	5398384	1	30	/home/ubuntu/icfpc2018/out/shioshiota18/FD024.nbt.gz
4	shioshiota14	5398384	1	30	/home/ubuntu/icfpc2018/out/shioshiota14/FD024.nbt.gz
5	hasi12	5398384	1	30	/home/ubuntu/icfpc2018/out/hasi12/FD024.nbt.gz
6	hasi19	5398384	1	30	/home/ubuntu/icfpc2018/out/hasi19/FD024.nbt.gz
7	shioshiota13	5398384	1	30	/home/ubuntu/icfpc2018/out/shioshiota13/FD024.nbt.gz
8	hasi13	5398384	1	30	/home/ubuntu/icfpc2018/out/hasi13/FD024.nbt.gz
9	shioshiota12	6208544	1	30	/home/ubuntu/icfpc2018/out/shioshiota12/FD024.nbt.gz
10	hasi16	11392826	1	30	/home/ubuntu/icfpc2018/out/hasi16/FD024.nbt.gz
11	shioshiota16	15200066	1	30	/home/ubuntu/icfpc2018/out/shioshiota16/FD024.nbt.gz
12	hasi15	15200066	1	30	/home/ubuntu/icfpc2018/out/hasi15/FD024.nbt.gz
13	hasi11	12324244440	1	30	/home/ubuntu/icfpc2018/out/hasi11/FD024.nbt.gz
14	hasi10	12328618440	1	30	/home/ubuntu/icfpc2018/out/hasi10/FD024.nbt.gz
15	default	24278850980	1	30	/home/ubuntu/icfpc2018/out/default/FD024.nbt.gz
